,customer_id,registered_date
276,C996508L,2021-07-10
279,C996508L,2021-07-10
280,C996508L,2021-07-10
286,C996508L,2021-07-10
294,C996508L,2021-07-10
295,C996508L,2021-07-10
296,C996508L,2021-07-10
303,C996508L,2021-07-10
313,C996508L,2021-07-10
314,C996508L,2021-07-10
315,C996508L,2021-07-10
341,C996508L,2021-07-10
342,C996508L,2021-07-10
344,C996508L,2021-07-10
345,C996508L,2021-07-10
346,C996508L,2021-07-10
347,C996508L,2021-07-10
348,C996508L,2021-07-10
360,C996508L,2021-07-10
361,C996508L,2021-07-10
362,C996508L,2021-07-10
369,C996508L,2021-07-10
370,C996508L,2021-07-10
380,C996508L,2021-07-10
384,C996508L,2021-07-10
385,C996508L,2021-07-10
389,C996508L,2021-07-10
791,C951682L,2021-07-27
792,C951682L,2021-07-27
793,C951682L,2021-07-27
794,C951682L,2021-07-27
795,C951682L,2021-07-27
796,C951682L,2021-07-27
797,C951682L,2021-07-27
798,C951682L,2021-07-27
799,C951682L,2021-07-27
800,C951682L,2021-07-27
801,C951682L,2021-07-27
802,C951682L,2021-07-27
803,C951682L,2021-07-27
804,C951682L,2021-07-27
805,C951682L,2021-07-27
806,C951682L,2021-07-27
807,C951682L,2021-07-27
808,C951682L,2021-07-27
809,C951682L,2021-07-27
810,C951682L,2021-07-27
811,C951682L,2021-07-27
814,C951682L,2021-07-27
815,C951682L,2021-07-27
816,C951682L,2021-07-27
822,C951682L,2021-07-27
823,C951682L,2021-07-27
824,C951682L,2021-07-27
825,C951682L,2021-07-27
826,C951682L,2021-07-27
827,C951682L,2021-07-27
828,C951682L,2021-07-27
829,C951682L,2021-07-27
830,C951682L,2021-07-27
831,C951682L,2021-07-27
832,C951682L,2021-07-27
833,C951682L,2021-07-27
834,C951682L,2021-07-27
835,C951682L,2021-07-27
836,C951682L,2021-07-27
846,C951682L,2021-07-27
847,C951682L,2021-07-27
848,C951682L,2021-07-27
1171,C483469L,2021-07-26
1178,C483469L,2021-07-26
1180,C483469L,2021-07-26
1183,C483469L,2021-07-26
1205,C483469L,2021-07-26
1222,C483469L,2021-07-26
1223,C483469L,2021-07-26
1224,C483469L,2021-07-26
1225,C483469L,2021-07-26
1226,C483469L,2021-07-26
1227,C483469L,2021-07-26
1229,C483469L,2021-07-26
1247,C483469L,2021-07-26
1248,C483469L,2021-07-26
1249,C483469L,2021-07-26
1250,C483469L,2021-07-26
1253,C483469L,2021-07-26
1254,C483469L,2021-07-26
1257,C483469L,2021-07-26
1258,C483469L,2021-07-26
1259,C483469L,2021-07-26
1269,C483469L,2021-07-26
1270,C483469L,2021-07-26
1281,C483469L,2021-07-26
1287,C483469L,2021-07-26
1289,C483469L,2021-07-26
1294,C483469L,2021-07-26
1295,C483469L,2021-07-26
1296,C483469L,2021-07-26
1297,C483469L,2021-07-26
1299,C483469L,2021-07-26
1300,C483469L,2021-07-26
1305,C483469L,2021-07-26
1311,C483469L,2021-07-26
1342,C615760L,2021-07-19
1343,C615760L,2021-07-19
1393,C346553L,2021-07-11
1394,C346553L,2021-07-11
1443,C631361L,2021-07-15
1444,C631361L,2021-07-15
1445,C631361L,2021-07-15
1771,C534453L,2021-07-18
1772,C534453L,2021-07-18
1774,C534453L,2021-07-18
1776,C534453L,2021-07-18
1780,C534453L,2021-07-18
1782,C534453L,2021-07-18
1827,C534453L,2021-07-18
1831,C534453L,2021-07-18
1832,C534453L,2021-07-18
1833,C534453L,2021-07-18
1834,C534453L,2021-07-18
1835,C534453L,2021-07-18
1836,C534453L,2021-07-18
1837,C534453L,2021-07-18
1841,C534453L,2021-07-18
1842,C534453L,2021-07-18
1843,C534453L,2021-07-18
1844,C534453L,2021-07-18
1845,C534453L,2021-07-18
1846,C534453L,2021-07-18
1848,C534453L,2021-07-18
1849,C534453L,2021-07-18
1850,C534453L,2021-07-18
1854,C534453L,2021-07-18
1868,C534453L,2021-07-18
1869,C534453L,2021-07-18
1870,C534453L,2021-07-18
1871,C534453L,2021-07-18
1882,C534453L,2021-07-18
1883,C534453L,2021-07-18
1884,C534453L,2021-07-18
1885,C534453L,2021-07-18
1886,C534453L,2021-07-18
1887,C534453L,2021-07-18
1888,C534453L,2021-07-18
1889,C534453L,2021-07-18
1890,C534453L,2021-07-18
1891,C534453L,2021-07-18
1892,C534453L,2021-07-18
1893,C534453L,2021-07-18
1897,C534453L,2021-07-18
1900,C534453L,2021-07-18
1901,C534453L,2021-07-18
1922,C534453L,2021-07-18
1923,C534453L,2021-07-18
1924,C534453L,2021-07-18
1925,C534453L,2021-07-18
1926,C534453L,2021-07-18
1927,C534453L,2021-07-18
1928,C534453L,2021-07-18
1929,C534453L,2021-07-18
1930,C534453L,2021-07-18
1931,C534453L,2021-07-18
1932,C534453L,2021-07-18
1933,C534453L,2021-07-18
1934,C534453L,2021-07-18
1935,C534453L,2021-07-18
1956,C534453L,2021-07-18
1958,C534453L,2021-07-18
2942,C404192L,2021-07-06
2976,C404192L,2021-07-06
2977,C404192L,2021-07-06
2978,C404192L,2021-07-06
2981,C404192L,2021-07-06
3070,C404192L,2021-07-06
3121,C404192L,2021-07-06
3122,C404192L,2021-07-06
3125,C404192L,2021-07-06
3126,C404192L,2021-07-06
3127,C404192L,2021-07-06
3128,C404192L,2021-07-06
3133,C404192L,2021-07-06
3134,C404192L,2021-07-06
3135,C404192L,2021-07-06
3136,C404192L,2021-07-06
3137,C404192L,2021-07-06
3138,C404192L,2021-07-06
3139,C404192L,2021-07-06
3140,C404192L,2021-07-06
3141,C404192L,2021-07-06
3147,C404192L,2021-07-06
3148,C404192L,2021-07-06
3176,C404192L,2021-07-06
3177,C404192L,2021-07-06
3216,C404192L,2021-07-06
6036,C525405L,2021-07-24
6051,C525405L,2021-07-24
6069,C525405L,2021-07-24
6075,C525405L,2021-07-24
6080,C525405L,2021-07-24
6093,C525405L,2021-07-24
6099,C525405L,2021-07-24
6102,C525405L,2021-07-24
6105,C525405L,2021-07-24
6108,C525405L,2021-07-24
6109,C525405L,2021-07-24
6121,C525405L,2021-07-24
6126,C525405L,2021-07-24
6185,C525405L,2021-07-24
6186,C525405L,2021-07-24
6187,C525405L,2021-07-24
6198,C525405L,2021-07-24
6201,C525405L,2021-07-24
6211,C525405L,2021-07-24
6236,C525405L,2021-07-24
6238,C525405L,2021-07-24
6239,C525405L,2021-07-24
6242,C525405L,2021-07-24
6579,C143684L,2021-07-05
6586,C143684L,2021-07-05
6587,C143684L,2021-07-05
6588,C143684L,2021-07-05
6589,C143684L,2021-07-05
6590,C143684L,2021-07-05
6591,C143684L,2021-07-05
6593,C143684L,2021-07-05
6594,C143684L,2021-07-05
6595,C143684L,2021-07-05
6600,C143684L,2021-07-05
8249,C946451L,2021-07-18
8250,C946451L,2021-07-18
8255,C946451L,2021-07-18
8256,C946451L,2021-07-18
8258,C946451L,2021-07-18
8259,C946451L,2021-07-18
8260,C946451L,2021-07-18
8321,C113061L,2021-07-20
8322,C113061L,2021-07-20
8326,C113061L,2021-07-20
8330,C113061L,2021-07-20
8439,C663962L,2021-07-13
8440,C663962L,2021-07-13
8441,C663962L,2021-07-13
8442,C663962L,2021-07-13
8444,C663962L,2021-07-13
8447,C663962L,2021-07-13
8448,C663962L,2021-07-13
8449,C663962L,2021-07-13
8450,C663962L,2021-07-13
8451,C663962L,2021-07-13
8452,C663962L,2021-07-13
8453,C663962L,2021-07-13
8455,C663962L,2021-07-13
8456,C663962L,2021-07-13
8458,C663962L,2021-07-13
8461,C663962L,2021-07-13
8462,C663962L,2021-07-13
8464,C663962L,2021-07-13
8465,C663962L,2021-07-13
8467,C663962L,2021-07-13
8468,C663962L,2021-07-13
8469,C663962L,2021-07-13
8470,C663962L,2021-07-13
8471,C663962L,2021-07-13
8472,C663962L,2021-07-13
8483,C878760L,2021-07-17
8484,C878760L,2021-07-17
8485,C878760L,2021-07-17
8990,C481253L,2021-07-26
9053,C481253L,2021-07-26
9079,C481253L,2021-07-26
9086,C481253L,2021-07-26
9088,C481253L,2021-07-26
9089,C481253L,2021-07-26
9090,C481253L,2021-07-26
9095,C481253L,2021-07-26
9098,C481253L,2021-07-26
9138,C481253L,2021-07-26
9164,C481253L,2021-07-26
9270,C481253L,2021-07-26
9271,C481253L,2021-07-26
9272,C481253L,2021-07-26
10331,C200313L,2021-07-17
10334,C200313L,2021-07-17
10350,C200313L,2021-07-17
10351,C200313L,2021-07-17
10401,C200313L,2021-07-17
10402,C200313L,2021-07-17
10403,C200313L,2021-07-17
10404,C200313L,2021-07-17
10405,C200313L,2021-07-17
10433,C200313L,2021-07-17
10434,C200313L,2021-07-17
10435,C200313L,2021-07-17
10436,C200313L,2021-07-17
10442,C200313L,2021-07-17
10443,C200313L,2021-07-17
10444,C200313L,2021-07-17
11204,C182986L,2021-07-04
11205,C182986L,2021-07-04
11737,C333743L,2021-07-07
11738,C333743L,2021-07-07
11795,C333743L,2021-07-07
11823,C333743L,2021-07-07
11825,C333743L,2021-07-07
11829,C333743L,2021-07-07
11830,C333743L,2021-07-07
11832,C333743L,2021-07-07
11833,C333743L,2021-07-07
11834,C333743L,2021-07-07
11842,C333743L,2021-07-07
11865,C333743L,2021-07-07
11866,C333743L,2021-07-07
11868,C333743L,2021-07-07
11885,C333743L,2021-07-07
11886,C333743L,2021-07-07
11888,C333743L,2021-07-07
11895,C333743L,2021-07-07
11897,C333743L,2021-07-07
11898,C333743L,2021-07-07
11899,C333743L,2021-07-07
11907,C333743L,2021-07-07
11910,C333743L,2021-07-07
11911,C333743L,2021-07-07
11912,C333743L,2021-07-07
11927,C333743L,2021-07-07
11933,C333743L,2021-07-07
11934,C333743L,2021-07-07
12262,C972737L,2021-07-21
12264,C972737L,2021-07-21
12270,C972737L,2021-07-21
12283,C972737L,2021-07-21
12284,C972737L,2021-07-21
12302,C972737L,2021-07-21
12312,C972737L,2021-07-21
12327,C972737L,2021-07-21
12328,C972737L,2021-07-21
12329,C972737L,2021-07-21
12331,C972737L,2021-07-21
12334,C972737L,2021-07-21
12335,C972737L,2021-07-21
12338,C972737L,2021-07-21
12339,C972737L,2021-07-21
12340,C972737L,2021-07-21
12341,C972737L,2021-07-21
12445,C427154L,2021-07-18
12446,C427154L,2021-07-18
12454,C427154L,2021-07-18
